time,step,loss/stage3_score_loss
1752682953.9318483,71598,0.002649349858984351
1752682953.9318647,71638,0.00263405404984951
1752682953.9320254,71678,0.0026710391975939274
1752682953.9320395,71718,0.002673457143828273
1752682953.932196,71758,0.0026825247332453728
1752682953.93221,71798,0.0028523202054202557
1752682953.93238,71838,0.00282668718136847
1752682953.9323938,71878,0.002629378577694297
1752682953.9325542,71918,0.0027075945399701595
1752682953.9325676,71958,0.0027892354410141706
1752682953.9327242,71998,0.0027649684343487024
1752682953.9327374,72038,0.0026877319905906916
1752682953.9328952,72078,0.0026727793738245964
1752682953.9329088,72118,0.0026412669103592634
1752682953.933065,72158,0.0024903197772800922
1752682953.9330783,72198,0.002865091897547245
1752682953.933377,72238,0.002611104864627123
1752682953.9333909,72278,0.0027807075530290604
1752682953.9334037,72318,0.0026471447199583054
1752682953.933416,72358,0.0026878302451223135
1752682953.933676,72398,0.0027409710455685854
1752682953.9336898,72438,0.0027636613231152296
1752682953.933703,72478,0.0026603753212839365
1752682953.9337158,72518,0.002846350194886327
1752682953.9340112,72558,0.0026785796508193016
1752682953.9340618,72598,0.0026197158731520176
1752682953.934305,72638,0.0026095714420080185
1752682953.9345782,72678,0.0028691913466900587
1752682953.9346018,72718,0.002794541185721755
1752682953.9347944,72758,0.002792695304378867
1752682953.9348104,72798,0.0026220963336527348
1752682953.9349747,72838,0.002646090928465128
1752682953.9349868,72878,0.0026023678947240114
1752682953.9351346,72918,0.002751341089606285
1752682953.9354975,72958,0.0027022857684642076
1752682953.9355178,72998,0.0026228202041238546
1752682953.935764,73038,0.002853523939847946
1752682953.9357798,73078,0.002663566265255213
1752682953.9357917,73118,0.0026503121480345726
1752682953.9359467,73158,0.002541579306125641
1752682953.935958,73198,0.002644374966621399
1752682953.9360926,73238,0.0026544490829110146
1752682953.9361036,73278,0.0027610273100435734
1752682953.936203,73318,0.0027568265795707703
1752682953.9363322,73358,0.0027178707532584667
1752682953.9363475,73398,0.0028272124473005533
1752682953.9365027,73438,0.0025153495371341705
1752682953.936514,73478,0.002667748834937811
1752682953.9366481,73518,0.002806728705763817
1752682953.9366596,73558,0.0025567763950675726
1752682953.936787,73598,0.0027723899111151695
1752682953.9367979,73638,0.0027020531706511974
1752682953.9369361,73678,0.0027777268551290035
1752682953.9369462,73718,0.002798545639961958
1752682953.9370852,73758,0.002786647528409958
1752682953.937096,73798,0.0025740040000528097
1752682953.9372306,73838,0.002852601232007146
1752682953.9373472,73878,0.00281629734672606
1752682953.9373581,73918,0.002727123908698559
1752682953.9374826,73958,0.002661903854459524
1752682953.9374924,73998,0.0028050225228071213
1752682953.9376323,74038,0.002553816419094801
1752682953.9376423,74078,0.0027789869345724583
1752682953.9378002,74118,0.0027940263971686363
1752682953.9379222,74158,0.002664165571331978
1752682953.9380407,74198,0.0028277987148612738
1752682953.938154,74238,0.0026947646401822567
1752682953.9382856,74278,0.0028001279570162296
1752682953.9384036,74318,0.0027416388038545847
1752682953.9385087,74358,0.0026977688539773226
1752682953.9386084,74398,0.002684962470084429
1752682953.9387045,74438,0.002795896492898464
1752682953.9388008,74478,0.002509258920326829
1752682953.9388947,74518,0.0025771227665245533
1752682953.938988,74558,0.002733332570642233
1752682953.939082,74598,0.0026430657599121332
1752682953.939176,74638,0.0026994426734745502
1752682953.9392664,74678,0.0026428145356476307
1752682953.9393556,74718,0.00266824709251523
1752682953.9394526,74758,0.00281382049433887
1752682953.9395378,74798,0.0026082105468958616
1752682953.939634,74838,0.0026040307711809874
1752682953.9397295,74878,0.0025053073186427355
1752682953.9399335,74918,0.002779504284262657
1752682953.9399524,74958,0.0026940954849123955
1752682953.939968,74998,0.0026111851911991835
1752682953.9402916,75038,0.002866087481379509
1752682953.9403145,75078,0.002812593011185527
1752682953.940328,75118,0.0027639190666377544
1752682953.940339,75158,0.0025982020888477564
1752682953.9403489,75198,0.002673398470506072
1752682953.9403589,75238,0.002772341715171933
1752682953.9407089,75278,0.002691454254090786
1752682953.9407897,75318,0.0026675178669393063
1752682953.9408786,75358,0.0027888398617506027
1752682953.9409647,75398,0.0027179878670722246
1752682953.9410818,75438,0.0026116156950592995
1752682953.9410925,75478,0.002837458858266473
1752682953.9412153,75518,0.00271070864982903
1752682953.9412255,75558,0.002748513827100396
1752682953.9414449,75598,0.002760412869974971
1752682953.9415846,75638,0.0026817056350409985
1752682953.9415956,75678,0.0026473752222955227
1752682953.941778,75718,0.002888631308451295
1752682953.9417894,75758,0.0024502379819750786
1752682953.9417994,75798,0.0026297837030142546
1752682953.9420867,75838,0.002503595082089305
1752682953.942132,75878,0.0029323571361601353
1752682953.9421484,75918,0.0028941526543349028
1752682953.94216,75958,0.002743466990068555
1752682953.9422817,75998,0.0027218719478696585
1752682953.9424024,76038,0.0025363476015627384
1752682953.9424133,76078,0.0026869180146604776
1752682953.9425066,76118,0.002703957725316286
1752682953.942623,76158,0.0026469614822417498
1752682953.9426334,76198,0.002641263883560896
1752682953.9427247,76238,0.002626218134537339
1752682953.9428415,76278,0.0025720628909766674
1752682953.9429042,76318,0.0026409400161355734
1752682953.942992,76358,0.002768872771412134
1752682953.9431086,76398,0.0027387780137360096
1752682953.9431188,76438,0.002610283438116312
1752682953.9432561,76478,0.0026898146606981754
1752682953.9432662,76518,0.002611079951748252
1752682953.9434025,76558,0.0026323008351027966
1752682953.943413,76598,0.0027001204434782267
1752682953.9435472,76638,0.0025608122814446688
1752682953.9435568,76678,0.0027140709571540356
1752682953.943691,76718,0.0028508438263088465
1752682953.9437006,76758,0.0027468467596918344
1752682953.9438224,76798,0.0023896987549960613
1752682953.9439268,76838,0.0024995373096317053
1752682953.9440196,76838,0.002586206654086709
1752682953.9441376,76878,0.0026928160805255175
1752682953.9441483,76878,0.0026958142407238483
1752682953.9442842,76918,0.0027861609123647213
1752682953.944294,76918,0.0026590493507683277
1752682953.9443989,76958,0.0027302626986056566
1752682953.9444826,76958,0.002623808803036809
1752682953.944597,76998,0.002977520227432251
1752682953.9446073,76998,0.0025330395437777042
1752682953.944711,77038,0.002713771304115653
1752682953.9449823,77038,0.0027120907325297594
1752682953.9450693,77078,0.0026733041740953922
1752682953.9452014,77078,0.002689953427761793
1752682953.9452145,77118,0.0026809554547071457
1752682953.9453473,77118,0.002702516270801425
1752682953.9453588,77158,0.0027452746871858835
1752682953.9455879,77158,0.002500091213732958
1752682953.9458516,77198,0.0028165585827082396
1752682953.9459984,77198,0.0027756420895457268
1752682953.946148,77238,0.002676489297300577
1752682953.9462698,77238,0.002773707965388894
1752682953.946409,77278,0.002553173340857029
1752682953.9464226,77278,0.002749769017100334
1752682953.9465554,77318,0.0027734325267374516
1752682953.946567,77318,0.0024558461736887693
1752682953.9466755,77358,0.002663338091224432
1752682953.9467523,77358,0.0026546360459178686
1752682953.9468427,77398,0.002634520875290036
1752682953.9469628,77398,0.002798591274768114
1752682953.9469738,77438,0.0027461699210107327
1752682953.9472148,77438,0.0027599469758570194
1752682953.9475644,77478,0.00273920432664454
1752682953.9477696,77478,0.0027132502291351557
1752682953.9480991,77518,0.0028382111340761185
1752682953.9482255,77518,0.002901027211919427
1752682953.948404,77558,0.002646171022206545
1752682953.9485493,77558,0.0027297695633023977
1752682953.9486673,77598,0.0027228815015405416
1752682953.94868,77598,0.002538371365517378
1752682953.9488685,77638,0.002638839650899172
1752682953.9489748,77638,0.002820552559569478
1752682953.9490743,77678,0.002643830142915249
1752682953.9491725,77678,0.0027159694582223892
1752682953.9492698,77718,0.00283597270026803
1752682953.9493666,77718,0.0026515736244618893
1752682953.9494615,77758,0.0026976605877280235
1752682953.9498682,77758,0.0026326708029955626
